game,word,difficulty,stage
breakdown,unhappiness,,s3e
breakdown,careless,,s2e
breakdown,replaying,,s2e
breakdown,disagreement,,s3e
breakdown,teacher,,s2e
breakdown,preview,,s2e
breakdown,rebuild,,s2e
breakdown,movement,,s2e
breakdown,helpful,,s2e
breakdown,powerless,,s2e
breakdown,return,,s3e
breakdown,transport,,s3e
breakdown,submarine,,s3e
breakdown,nonfiction,,s3e
breakdown,running,,s2e
breakdown,significant,,s3l
breakdown,happiness,,s2e
breakdown,unhelpful,,s2e
breakdown,rewrite,,s2e
breakdown,preheat,,s2e
breakdown,forecast,,s2e
breakdown,foresee,,s2e
breakdown,multitask,,s3e
breakdown,hyperactive,,s3l
breakdown,malfunction,,s3e
breakdown,semicircle,,s3e
breakdown,semifinal,,s3e
breakdown,microphone,,s3e
breakdown,megaphone,,s3e
breakdown,midpoint,,s2l
breakdown,midnight,,s2l
breakdown,extraordinary,,s3l
breakdown,enable,,s2l
breakdown,encourage,,s2l
breakdown,empower,,s2l
breakdown,construct,,s3e
breakdown,atypical,,s3e
breakdown,progress,,s3e
breakdown,export,,s3e
breakdown,observe,,s3e
breakdown,contradict,,s3e
breakdown,proactive,,s3e
breakdown,overpower,,s2l
breakdown,misplace,,s2e
breakdown,interact,,s3e
breakdown,underline,,s2e
breakdown,supermarket,,s3e
breakdown,discomfort,,s2l
breakdown,cheerful,,s2e
breakdown,kindness,,s2e
breakdown,hopeless,,s2e
breakdown,enjoyment,,s2l
breakdown,replacement,,s2l
breakdown,uncomfortable,,s3e
breakdown,underground,,s2l
breakdown,peaceful,,s2e
breakdown,friendship,,s2e
breakdown,misspell,,s2e
breakdown,unbreakable,,s2l
breakdown,misbehave,,s2e
breakdown,nonexistent,,s3e
breakdown,prepayment,,s3e
breakdown,overloaded,,s2l
breakdown,childish,,s2e
breakdown,darkness,,s2e
breakdown,artist,,s2e
breakdown,inventive,,s3e
breakdown,joyful,,s2e
breakdown,suddenly,,s2l
breakdown,active,,s3e
breakdown,dangerous,,s2l
breakdown,musical,,s2l
breakdown,brotherhood,,s2l
breakdown,readable,,s2l
breakdown,heroic,,s3e
breakdown,allowance,,s3e
breakdown,neighbourhood,,s3e
breakdown,payment,,s2e
breakdown,creative,,s3e
breakdown,foolish,,s2e
breakdown,thankful,,s2e
breakdown,swimmer,,s2e
breakdown,rethink,,s2e
breakdown,disorder,,s3e
breakdown,uncover,,s2e
breakdown,disappearance,,s3e
breakdown,overcrowded,,s2l
breakdown,superhero,,s3e
breakdown,mismatch,,s2e
breakdown,nonsense,,s2e
breakdown,transplant,,s3e
breakdown,intersection,,s3l
breakdown,decode,,s3e
breakdown,postgame,,s2l
breakdown,deflate,,s3e
breakdown,enclose,,s2l
breakdown,anticlockwise,,s3l
breakdown,foreground,,s2e
breakdown,multicoloured,,s3e
breakdown,microscope,,s3e
breakdown,hyperlink,,s3e
breakdown,subheading,,s3e
breakdown,disbelief,,s3e
breakdown,recover,,s3e
breakdown,unfairly,,s2e
breakdown,enjoyable,,s2l
breakdown,performer,,s3e
breakdown,action,,s3e
breakdown,tasteless,,s2e
breakdown,adventurous,,s3e
breakdown,respectful,,s2l
breakdown,sickness,,s2e
breakdown,invention,,s3e
breakdown,visitor,,s3e
breakdown,refreshment,,s3e
breakdown,displacement,,s3e
breakdown,overreact,,s2l
breakdown,unforgettable,,s3l
breakdown,misunderstanding,,s3l
breakdown,reusable,,s2l
breakdown,unlocked,,s2e
breakdown,preschool,,s2e
breakdown,playful,,s2e
breakdown,replay,,s2e
breakdown,overplay,,s2l
breakdown,misplay,,s2e
breakdown,rework,,s2e
breakdown,overwork,,s2l
breakdown,worker,,s2e
breakdown,misread,,s2e
breakdown,unreadable,,s2l
breakdown,unthinkable,,s2l
breakdown,overthink,,s2l
breakdown,unkindness,,s2l
breakdown,unkindly,,s2e
breakdown,hopeful,,s2e
breakdown,hopefully,,s2l
breakdown,fearless,,s2e
breakdown,fearful,,s2e
breakdown,thankless,,s2e
breakdown,harmful,,s2e
breakdown,harmless,,s2e
breakdown,unharmed,,s2e
breakdown,distasteful,,s2l
breakdown,doubtful,,s2e
breakdown,undoubted,,s2l
breakdown,miscount,,s2e
breakdown,recount,,s2e
breakdown,discount,,s2l
breakdown,restart,,s2e
breakdown,nonstop,,s2e
breakdown,unstoppable,,s2l
breakdown,refill,,s2e
breakdown,overfill,,s2l
breakdown,reprint,,s2e
breakdown,misprint,,s2e
breakdown,overheat,,s2l
breakdown,repaint,,s2e
breakdown,painter,,s2e
breakdown,unload,,s2e
breakdown,reload,,s2e
breakdown,reorder,,s2e
breakdown,disorderly,,s3e
breakdown,unclean,,s2e
breakdown,cleaner,,s2e
breakdown,sharpener,,s2e
breakdown,sharpness,,s2e
breakdown,brightness,,s2e
breakdown,brighten,,s2e
breakdown,unfairness,,s2e
breakdown,unsafe,,s2e
breakdown,safely,,s2e
breakdown,deepen,,s2e
breakdown,deeply,,s2e
breakdown,weakness,,s2e
breakdown,weaken,,s2e
breakdown,soften,,s2e
breakdown,softness,,s2e
breakdown,darken,,s2e
breakdown,sweetness,,s2e
breakdown,sweeten,,s2e
breakdown,quickness,,s2e
breakdown,quicken,,s2e
breakdown,slowness,,s2e
breakdown,warmly,,s2e
breakdown,freshness,,s2e
breakdown,harden,,s2e
breakdown,hardness,,s2e
breakdown,priceless,,s2e
breakdown,overpriced,,s2l
breakdown,discovery,,s3e
breakdown,landing,,s2e
breakdown,overland,,s2l
breakdown,retest,,s2e
breakdown,pretest,,s2e
breakdown,graceful,,s2e
breakdown,disgraceful,,s2l
breakdown,comfortable,,s3e
breakdown,agreement,,s2e
breakdown,disagreeable,,s3e
breakdown,colourful,,s2e
breakdown,colourless,,s2e
breakdown,discolour,,s2e
breakdown,befriend,,s2e
breakdown,behold,,s2e
breakdown,uniform,,s3e
breakdown,uniformly,,s3e
breakdown,uniformity,,s3l
breakdown,universal,,s3l
breakdown,circumspect,,s3l
breakdown,coverage,,s2l
breakdown,package,,s2e
breakdown,usage,,s2e
breakdown,signage,,s2l
breakdown,stoppage,,s2l
breakdown,motion,,s3e
breakdown,motor,,s3e
breakdown,motive,,s3e
breakdown,promotion,,s3e
breakdown,demotion,,s3e
breakdown,emotional,,s3e
breakdown,gradual,,s3e
breakdown,degradation,,s3l
breakdown,informative,,s3e
breakdown,communicative,,s3l
breakdown,educative,,s3e
breakdown,infectious,,s3l
breakdown,gracious,,s3e
breakdown,sympathy,,s3e
breakdown,empathy,,s3e
breakdown,telepathy,,s3l
phoneme,cat,Starter,s2e
phoneme,ship,Starter,s2e
phoneme,chat,Starter,s2e
phoneme,thin,Starter,s2e
phoneme,fish,Starter,s2e
phoneme,rich,Starter,s2e
phoneme,bath,Starter,s2e
phoneme,shop,Starter,s2e
phoneme,chip,Starter,s2e
phoneme,rush,Starter,s2e
phoneme,much,Starter,s2e
phoneme,then,Starter,s2e
phoneme,when,Starter,s2e
phoneme,shed,Starter,s2e
phoneme,chin,Starter,s2e
phoneme,with,Starter,s2e
phoneme,chop,Starter,s2e
phoneme,shut,Starter,s2e
phoneme,thud,Starter,s2e
phoneme,whip,Starter,s2e
phoneme,path,Starter,s2e
phoneme,wish,Starter,s2e
phoneme,chap,Starter,s2e
phoneme,lash,Starter,s2e
phoneme,rain,Level up,s2e
phoneme,feet,Level up,s2e
phoneme,boat,Level up,s2e
phoneme,moon,Level up,s2e
phoneme,book,Level up,s2e
phoneme,play,Level up,s2e
phoneme,seed,Level up,s2e
phoneme,coin,Level up,s2e
phoneme,loud,Level up,s2e
phoneme,night,Level up,s2e
phoneme,light,Level up,s2e
phoneme,read,Level up,s2e
phoneme,train,Level up,s2e
phoneme,cream,Level up,s2e
phoneme,shout,Level up,s2e
phoneme,chain,Level up,s2e
phoneme,teeth,Level up,s2e
phoneme,beach,Level up,s2e
phoneme,sheet,Level up,s2e
phoneme,wheat,Level up,s2e
phoneme,cheap,Level up,s2e
phoneme,float,Level up,s2e
phoneme,green,Level up,s2e
phoneme,snail,Level up,s2e
phoneme,flight,Level up,s2l
phoneme,loaf,Level up,s2e
phoneme,steer,Level up,s2e
phoneme,proud,Level up,s2e
phoneme,boil,Level up,s2e
phoneme,frown,Level up,s2e
phoneme,clay,Level up,s2e
phoneme,dream,Level up,s2e
phoneme,bright,Challenge,s2l
phoneme,throat,Challenge,s2l
phoneme,thought,Challenge,s3e
phoneme,street,Challenge,s2l
phoneme,spring,Challenge,s2l
phoneme,strong,Challenge,s2l
phoneme,splash,Challenge,s2l
phoneme,choice,Challenge,s2e
phoneme,shook,Challenge,s2e
phoneme,teacher,Challenge,s2l
phoneme,thunder,Challenge,s2l
phoneme,feather,Challenge,s2l
phoneme,birthday,Challenge,s2l
phoneme,shoulder,Challenge,s2l
phoneme,strength,Challenge,s3e
phoneme,scratch,Challenge,s2l
phoneme,squeak,Challenge,s2l
phoneme,shriek,Challenge,s2l
phoneme,screech,Challenge,s2l
phoneme,church,Challenge,s2e
phoneme,thrush,Challenge,s2e
syllable,butter,,s2e
syllable,open,,s2e
syllable,paper,,s2e
syllable,happy,,s2e
syllable,garden,,s2e
syllable,pencil,,s2e
syllable,basket,,s2e
syllable,window,,s2e
syllable,carpet,,s2e
syllable,helmet,,s2e
syllable,rabbit,,s2e
syllable,market,,s2e
syllable,parrot,,s2e
syllable,mitten,,s2e
syllable,expand,,s2e
syllable,protect,,s2e
syllable,connect,,s2e
syllable,perform,,s2e
syllable,reflect,,s2e
syllable,subtract,,s2e
syllable,morning,,s2e
syllable,sunshine,,s2e
syllable,kingdom,,s2e
syllable,signal,,s2e
syllable,captain,,s2e
syllable,carbon,,s2e
syllable,orbit,,s2e
syllable,vertex,,s2e
syllable,splendid,,s2e
syllable,blanket,,s2e
syllable,together,,s2e
syllable,tomorrow,,s2e
syllable,remember,,s2e
syllable,consider,,s2l
syllable,however,,s2e
syllable,important,,s2l
syllable,wonderful,,s2e
syllable,basketball,,s2e
syllable,hamburger,,s2e
syllable,elephant,,s2e
syllable,december,,s2e
syllable,umbrella,,s2e
syllable,example,,s2e
syllable,computer,,s2e
syllable,adventure,,s2l
syllable,entertain,,s2l
syllable,understand,,s2l
syllable,educate,,s2l
syllable,different,,s2l
syllable,beautiful,,s2l
syllable,fantastic,,s2e
syllable,september,,s2e
syllable,volcano,,s2e
syllable,melody,,s2e
syllable,calendar,,s2l
syllable,telescope,,s2l
syllable,victory,,s2e
syllable,syllable,,s2l
syllable,decimal,,s2l
syllable,information,,s2l
syllable,communication,,s3e
syllable,education,,s2l
syllable,organisation,,s3e
syllable,investigation,,s3e
syllable,vocabulary,,s3e
syllable,responsibility,,s3l
syllable,approximately,,s3l
syllable,construction,,s2l
syllable,understanding,,s2l
syllable,independent,,s3e
syllable,celebration,,s2l
syllable,environment,,s3e
syllable,international,,s3e
syllable,multiplication,,s3e
syllable,immediately,,s3e
syllable,photography,,s3e
syllable,electricity,,s3e
syllable,democracy,,s3e
syllable,geography,,s3e
syllable,temperature,,s3e
syllable,caterpillar,,s2l
syllable,discovery,,s2e