type,group,id,display,meaning,examples,stage,L,rationale,syllabus_ref,reviewed,batch
base,anglo,anglo_70,deep,going far down or in,"deeper, deepen, deeply",s2e,medium,"One-syllable base, default s2e. Derivative 'deeper/deepest' at Stage 1 (-er/-est); 'deepen' at Stage 2 (-en).","Derivative reasoning: -er, -est (Stage 1), -en (Stage 2)",,7
base,anglo,anglo_71,weak,not strong,"weaken, weakly, weakness",s2e,medium,"One-syllable base, default s2e. Derivative 'weakly' at Stage 1 (-ly); 'weakness' at Stage 2 (-ness).","Derivative reasoning: -ly (Stage 1), -ness (Stage 2)",,7
base,anglo,anglo_72,soft,not hard or rough,"soften, softly, softness",s2e,medium,"One-syllable base, default s2e. Derivative 'softly' at Stage 1 (-ly); 'softness' at Stage 2 (-ness).","Derivative reasoning: -ly (Stage 1), -ness (Stage 2)",,7
base,anglo,anglo_73,dark,with little or no light,"darken, darkness, darkly",s2e,medium,"One-syllable base, default s2e. Derivative 'darkly' at Stage 1 (-ly); 'darkness' at Stage 2 (-ness).","Derivative reasoning: -ly (Stage 1), -ness (Stage 2)",,7
base,anglo,anglo_74,sweet,tasting like sugar; pleasant,"sweeten, sweetly, sweetness",s2e,medium,"One-syllable base, default s2e. Derivative 'sweetly' at Stage 1 (-ly); 'sweetness' at Stage 2 (-ness).","Derivative reasoning: -ly (Stage 1), -ness (Stage 2)",,7
base,anglo,anglo_75,quick,moving fast; done in a short time,"quickly, quicken, quickness",s2e,medium,"One-syllable base, default s2e. Derivative 'quickly' at Stage 1 (-ly). NSW DoE cites quick-quicklier in intro.",NSW DoE Morphemes Suggested Sequence – introduction (quick example),,7
base,anglo,anglo_76,slow,not fast,"slowly, slowness, slowdown",s2e,medium,"One-syllable base, default s2e. Derivative 'slowly' at Stage 1 (-ly). NSW DoE cites slow-slowly as Stage 1 example.","NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 1 (slow-slowly)",,7
base,anglo,anglo_77,warm,fairly hot; friendly,"warmer, warmth, rewarm",s2e,medium,"One-syllable base, default s2e. Derivative 'warmer/warmest' at Stage 1 (-er/-est).","Derivative reasoning: -er, -est (Stage 1)",,7
base,anglo,anglo_78,fresh,new; recently made,"freshen, freshly, freshness",s2e,medium,"One-syllable base, default s2e. Derivative 'freshly' at Stage 1 (-ly); 'freshness' at Stage 2 (-ness).","Derivative reasoning: -ly (Stage 1), -ness (Stage 2)",,7
base,anglo,anglo_79,hard,not soft; difficult,"harden, hardly, hardness",s2e,medium,"One-syllable base, default s2e. Derivative 'hardly' at Stage 1 (-ly); 'hardness' at Stage 2 (-ness).","Derivative reasoning: -ly (Stage 1), -ness (Stage 2)",,7
base,anglo,anglo_80,price,the amount of money something costs,"priceless, pricey, overpriced",s2e,medium,"One-syllable base, default s2e. Derivative 'priceless' at Stage 2 (-less); 'pricey' at Stage 1 (-y).","Derivative reasoning: -y (Stage 1), -less (Stage 2)",,7
base,anglo,anglo_81,cover,to put something over; to include,"uncover, recovery, discover",s2e,medium,Two-syllable base. Derivative 'uncover' at Stage 1 (un-); 'discover' at Stage 2 (dis-).,"Derivative reasoning: un- (Stage 1), dis- (Stage 2)",,7
base,anglo,anglo_82,land,an area of ground; to arrive,"landing, inland, overland",s2e,medium,"One-syllable base, default s2e. Derivative 'landing' at ES1 (-ing); 'overland' at Stage 2 (over-).","Derivative reasoning: -ing (ES1), over- (Stage 2)",,7
base,anglo,anglo_83,test,to check or try out,"tester, retest, untested",s2e,medium,"One-syllable base, default s2e. Derivative 'tester' at Stage 1 (-er); 'retest' at Stage 1 (re-).","Derivative reasoning: -er (Stage 1), re- (Stage 1)",,7
base,anglo,anglo_84,grace,beauty of movement; a prayer,"graceful, gracious, disgrace",s2e,medium,"One-syllable base, default s2e. Derivative 'graceful' at Stage 1 (-ful); 'disgrace' at Stage 2 (dis-).","Derivative reasoning: -ful (Stage 1), dis- (Stage 2)",,7
base,anglo,anglo_85,comfort,a state of ease; to soothe,"comfortable, discomfort, uncomfortable",s3e,medium,Two-syllable base. Derivative 'comfortable' at Stage 2 (-able) but 'discomfort/uncomfortable' pattern and abstract meaning warrants s3e per rule 4. Comfortable is a complex word for younger students despite -able being Stage 2.,Derivative reasoning: -able (Stage 2); complexity/abstractness warrants s3e per rule 4,,7
base,anglo,anglo_86,agree,to have the same opinion,"agreement, disagree, disagreeable",s2e,medium,Two-syllable base. Derivative 'disagree' at Stage 2 (dis-); 'agreement' at Stage 2 (-ment).,"Derivative reasoning: dis- (Stage 2), -ment (Stage 2)",,7
base,anglo,anglo_87,colour,the property of light; to add colour,"colourful, colourless, discolour",s2e,medium,Two-syllable base. Derivative 'colourful' at Stage 1 (-ful); 'colourless' at Stage 2 (-less).,"Derivative reasoning: -ful (Stage 1), -less (Stage 2)",,7
base,latin,latin_0,rupt,break,"interrupt, erupt, disrupt",s3l,medium,Not listed in NSW DoE sequence. Latin root rumpere/ruptum (to break). High-frequency academic vocabulary root. Thematically suits Stage 3. Teacher judgement required.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_1,tract,pull; draw,"attract, extract, tractor",s3e,medium,Not listed in NSW DoE sequence. Latin root trahere/tractum (to pull/draw). Thematically suits Stage 3. Teacher judgement required.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_2,form,shape; make,"reform, transform, formation",s2e,high,"Explicitly listed in Stage 2 Latin roots (form = shape; conform, reform)","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 2",,6
base,latin,latin_3,cred,believe; trust,"credit, incredible, credible",s2e,high,"Explicitly listed in Stage 2 Latin roots (cred = believe/trust; credit, incredible)","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 2",,6
base,latin,latin_4,dic,say; speak,"dictate, indicate, predict",s2l,high,"Explicitly listed in Stage 2 Latin roots as dict/dic (dic = to say; dictation, dictator)","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 2",,6
base,latin,latin_5,dict,say; tell,"dictation, dictator, predict",s2l,high,"Explicitly listed in Stage 2 Latin roots (dict = to say; dictation, dictator)","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 2",,6
base,latin,latin_6,struct,build,"construct, instruct, destruction",s2l,high,"Explicitly listed in Stage 2 Latin roots (struct = to build; destruction, restructure)","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 2",,6
base,latin,latin_7,scrib,write,"describe, prescribe, scribble",s2l,high,"Explicitly listed in Stage 2 Latin roots as scrib/script (scrib = to write; inscription, prescribe)","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 2",,6
base,latin,latin_8,script,written; writing,"inscription, manuscript, prescription",s2l,high,"Explicitly listed in Stage 2 Latin roots as scrib/script (script = written; inscription, prescribe)","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 2",,6
base,latin,latin_9,port,carry,"transport, portable, import",s2e,high,"Explicitly listed in Stage 2 Latin roots (port = to carry; portable, transportation)","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 2",,6
base,latin,latin_10,aud,hear,"audience, audition, auditorium",s2e,high,"Explicitly listed in Stage 2 Latin roots (aud = to hear; audience, audition)","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 2",,6
base,latin,latin_11,flex,bend,"flexible, reflex, inflexible",s3l,medium,Not listed by name in NSW DoE sequence. Variant of flect- (same Latin root flectere). Thematically suits Stage 2–3 alongside other Latin roots. Teacher judgement required — consider consolidating with flect- entry.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_12,flect,bend,"reflect, deflect, inflect",s3l,medium,Not listed by name in NSW DoE sequence. Latin root flectere (to bend). Thematically suits Stage 2–3 alongside other Latin roots. Teacher judgement required — consider consolidating with flex- entry.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_13,ject,throw,"projection, rejection, inject",s2l,high,"Explicitly listed in Stage 2 Latin roots (ject = throw; projection, rejection)","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 2",,6
base,latin,latin_14,spec,look; see,"spectator, inspect, spectacular",s2l,high,"Explicitly listed in Stage 2 Latin roots as spect/spec (spect = to look; inspection, spectator). Variant form of spect-.","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 2",,6
base,latin,latin_15,spect,look; watch,"inspect, spectator, spectacular",s2l,high,"Explicitly listed in Stage 2 Latin roots (spect = to look; inspection, spectator)","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 2",,6
base,latin,latin_16,spic,look; see,"conspicuous, perspicacious",s3l,medium,Not listed in NSW DoE sequence. Rare variant of spect-/spec- (Latin specere). Appears mainly in advanced vocabulary. Recommend reviewing whether this level of variant is appropriate for Years 3–7.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_17,miss,send,"mission, dismiss, transmission",s3e,medium,Not listed by name in NSW DoE sequence. Variant of mit- (same Latin root mittere). Thematically suits Stage 2–3 alongside other Latin roots. Teacher judgement required — consider consolidating with mit- entry.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_18,mit,send,"transmit, permit, submit",s3e,medium,Not listed by name in NSW DoE sequence. Latin root mittere (to send). Thematically suits Stage 2–3 alongside other Latin roots. Teacher judgement required — consider consolidating with miss- entry.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_19,sci,know,"science, conscious, omniscient",s3l,medium,Not listed in NSW DoE sequence. Latin root scire (to know). Primarily appears in academic/science vocabulary. Thematically suits Stage 3–4. Teacher judgement required.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_20,pend,hang; weigh,"pendant, suspend, appendix",s3l,medium,Not listed in NSW DoE sequence. Latin root pendere (to hang/weigh). Thematically suits Stage 3 alongside other Latin roots. Teacher judgement required — consider consolidating with pens- entry.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_21,pens,weigh; think,"compensate, pension, dispensary",s3l,medium,Not listed in NSW DoE sequence. Variant of pend- (Latin pendere/pensare). Thematically suits Stage 3. Teacher judgement required — consider consolidating with pend- entry.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_22,vis,see,"visible, television, vision",s2l,high,"Explicitly listed in Stage 2 Latin roots as vid/vis (vis = to see; televise, video)","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 2",,6
base,latin,latin_23,vid,see,"video, evident, provide",s2l,high,"Explicitly listed in Stage 2 Latin roots as vid/vis (vid = to see; televise, video)","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 2",,6
base,latin,latin_24,fer,carry; bring,"transfer, refer, confer",s3e,medium,Not listed in NSW DoE sequence. Latin root ferre (to carry/bring). High-frequency root in academic vocabulary. Thematically suits Stage 3 alongside other Latin roots. Teacher judgement required.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_25,vers,turn,"reverse, versatile, conversation",s3e,medium,Not listed by name in NSW DoE sequence. Variant of vert- (same Latin root vertere). Thematically suits Stage 3. Teacher judgement required — consider consolidating with vert- entry.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_26,vert,turn,"convert, invert, divert",s3e,medium,Not listed by name in NSW DoE sequence. Latin root vertere (to turn). Thematically suits Stage 3. Teacher judgement required — consider consolidating with vers- entry.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_27,duc,lead,"educate, introduce, produce",s3e,medium,Not listed by name in NSW DoE sequence. Variant of duct- (same Latin root ducere). Thematically suits Stage 3. Teacher judgement required — consider consolidating with duct- entry.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_28,duct,lead,"conduct, production, deduct",s3e,medium,Not listed by name in NSW DoE sequence. Latin root ducere (to lead). Thematically suits Stage 3. Teacher judgement required — consider consolidating with duc- entry.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_29,sec,cut,"section, bisect, dissect",s2l,high,"Explicitly listed in Stage 2 Latin roots as sect/sec (sec = to cut; bisect, section)","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 2",,6
base,latin,latin_30,sect,cut,"bisect, dissect, section",s2l,high,"Explicitly listed in Stage 2 Latin roots as sect/sec (sect = to cut; bisect, section)","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 2",,6
base,latin,latin_31,claus,close,"claustrophobia, clause",s3l,medium,Not listed in NSW DoE sequence. Latin root claudere (to close). Rare in everyday vocabulary. Thematically suits Stage 3–4. Teacher judgement required — consider consolidating with clos- entry.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_32,clos,close,"close, disclose, enclose",s3l,medium,Not listed in NSW DoE sequence. Variant of claus- (Latin claudere). More common in everyday vocabulary than claus-. Thematically suits Stage 3. Teacher judgement required — consider consolidating with claus- entry.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_33,vit,life,"vital, vitamin, revitalise",s3l,medium,Not listed in NSW DoE sequence. Latin root vita (life). Thematically suits Stage 3 alongside other Latin roots. Teacher judgement required — consider consolidating with viv- entry.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_34,viv,live,"vivid, survive, revive",s3l,medium,Not listed in NSW DoE sequence. Latin root vivere (to live). Thematically suits Stage 3 alongside other Latin roots. Teacher judgement required — consider consolidating with vit- entry.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_35,cept,take; receive,"accept, except, intercept",s3l,medium,Not listed in NSW DoE sequence. Latin root capere/ceptum (to take). High-frequency academic vocabulary root. Thematically suits Stage 3. Teacher judgement required.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_36,cess,go; yield; give way,"process, success, recession",s3l,medium,Not listed in NSW DoE sequence. Variant of cede- (Latin cedere). Thematically suits Stage 3–4. Teacher judgement required — consider consolidating with cede- entry.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_37,fect,make; do,"affect, effect, infect",s3l,medium,"Not listed in NSW DoE sequence. Latin root facere/fectum (to make/do). Related to fac- (Stage 2: fac = to do/make; factory, manufacture). Thematically suits Stage 2–3. Teacher judgement required.","NSW DoE Morphemes Suggested Sequence – Latin Roots, Stage 2 (related root fac-)",,6
base,latin,latin_38,fix,fasten; attach,"prefix, suffix, fixture",s3e,medium,"Not listed in NSW DoE sequence. Latin root figere (to fasten). High utility in morphology instruction itself (prefix, suffix). Thematically suits Stage 2–3. Teacher judgement required.",Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_39,sign,mark; signal,"signature, significant, assign",s3e,medium,Not listed in NSW DoE sequence. Latin root signum (mark/sign). Thematically suits Stage 3. Teacher judgement required.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_40,tend,stretch; reach,"extend, intend, attend",s3l,medium,Not listed in NSW DoE sequence. Latin root tendere (to stretch). Thematically suits Stage 3. Teacher judgement required.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_41,press,press; push,"compress, express, pressure",s3e,medium,Not listed in NSW DoE sequence. Latin root premere/pressum. Thematically suits Stage 3. Teacher judgement required.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_42,gress,step; go,"progress, aggressive, congress",s3l,medium,Not listed in NSW DoE sequence. Latin root gradi/gressum. Variant of grad-. Thematically suits Stage 3–4. Teacher judgement required — consider consolidating with grad- entry.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_43,cede,go; yield,"precede, recede, concede",s3l,medium,Not listed in NSW DoE sequence. Latin root cedere (to go/yield). Thematically suits Stage 3–4. Teacher judgement required — consider consolidating with cess- entry.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_44,claim,call out; cry,"exclaim, proclaim, reclaim",s3l,medium,Not listed in NSW DoE sequence. Latin root clamare (to call out). Thematically suits Stage 3. Teacher judgement required.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_45,prove,test; show,"approve, improve, disprove",s3l,medium,Not listed in NSW DoE sequence. Latin root probare (to test). Thematically suits Stage 3. Teacher judgement required.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_46,ply,fold; bend,"reply, apply, comply",s3l,medium,Not listed in NSW DoE sequence. Latin root plicare (to fold). Related to complex- family. Thematically suits Stage 3. Teacher judgement required.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_47,spire,breathe; live,"inspire, expire, aspire",s3l,medium,Not listed in NSW DoE sequence. Latin root spirare (to breathe). Thematically suits Stage 3. Teacher judgement required.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_48,grad,step; go,"gradient, upgrade, gradual",s3l,medium,Not listed in NSW DoE sequence. Latin root gradi (to step/go). Variant of gress-. Thematically suits Stage 3–4. Teacher judgement required — consider consolidating with gress- entry.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,latin,latin_49,mot,move,"motion, motor, promote",s3l,medium,Not listed in NSW DoE sequence. Latin root movere/motum (to move). Thematically suits Stage 3. Teacher judgement required.,Not found in NSW DoE Morphemes Suggested Sequence,,6
base,greek,greek_0,graph,write; drawing,"photograph, paragraph, autograph",s3e,high,"Explicitly listed in Stage 3 Greek roots (graph = writing; graphic, phonograph)","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 3",,6
base,greek,greek_1,gram,written; something written,"telegram, diagram, grammar",s3e,high,"Explicitly listed in Stage 3 Greek roots (gram = thing written; epigram, telegram)","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 3",,6
base,greek,greek_2,micros,small,"microscope, microwave, microbe",s3e,high,"Explicitly listed in Stage 3 Greek roots as micro- (small; microscope, microwave). Note: micros is the full Greek root form of the micro- prefix/combining form.","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 3",,6
base,greek,greek_3,hydr,water,"hydration, dehydrate, hydrogen",s3e,high,"Explicitly listed in Stage 3 Greek roots (hydr = water; hydration, dehydrate)","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 3",,6
base,greek,greek_4,hydro,water,"hydroelectric, hydrotherapy",s3e,high,"Explicitly listed in Stage 3 Greek roots as hydr/hydro (water; hydration, dehydrate). Hydro- is the combining form variant.","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 3",,6
base,greek,greek_5,therm,heat,"thermal, thermometer, geothermal",s3e,high,"Explicitly listed in Stage 3 Greek roots (therm = heat; thermal, thermometer)","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 3",,6
base,greek,greek_6,thermo,heat,"thermometer, thermostat",s3e,high,"Explicitly listed in Stage 3 Greek roots as therm/thermo (heat; thermal, thermometer). Thermo- is the combining form variant.","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 3",,6
base,greek,greek_7,phon,sound; voice,"phonics, megaphone, microphone",s3e,high,"Explicitly listed in Stage 3 Greek roots as phon/phono (sound; phonics, megaphone)","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 3",,6
base,greek,greek_8,logy,study of,"biology, psychology, geology",s3e,high,"Explicitly listed in Stage 3 Greek roots (logy = study of; biology, psychology)","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 3",,6
base,greek,greek_9,chron,time,"chronological, chronic, anachronism",s3e,high,"Explicitly listed in Stage 3 Greek roots as chron/chrono (time; chronological, chronic)","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 3",,6
base,greek,greek_10,chrono,time,"chronological, chronometer",s3e,high,"Explicitly listed in Stage 3 Greek roots as chron/chrono (time; chronological, chronic). Chrono- is the combining form variant.","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 3",,6
base,greek,greek_11,photo,light,"photograph, photosynthesis, photon",s3e,high,"Explicitly listed in Stage 3 Greek roots as photo/phos (light; photograph, phosphorous)","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 3",,6
base,greek,greek_12,scope,look; view; examine,"microscope, telescope, stethoscope",s3e,high,"Explicitly listed in Stage 3 Greek roots (scope = viewing instrument; microscope, telescope)","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 3",,6
base,greek,greek_13,meter,measure,"thermometer, perimeter, speedometer",s3e,high,"Explicitly listed in Stage 3 Greek roots as meter/metr (measure; thermometer, perimeter)","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 3",,6
base,greek,greek_14,aero,air,"aerodynamic, aerosol, aeroplane",s4,medium,Not listed in NSW DoE sequence or Australian Curriculum v9. Greek root aer (air). Common in science and everyday vocabulary. Thematically suits Stage 3 alongside other Greek roots. Teacher judgement required.,Not found in NSW DoE Morphemes Suggested Sequence,,6